year,fossil_share,renewable_share
2000,0.3102113849570119,0.037483964657352715
2001,0.31054991334980436,0.036711769851759044
2002,0.3105534736549595,0.036091162757317836
2003,0.3098873274782708,0.035589671319657686
2004,0.30899227723970235,0.03643244915398331
2005,0.30798030596963527,0.03645836417705062
2006,0.30897165560596923,0.03724662221635823
2007,0.3097059325316839,0.03697331915842794
2008,0.3083028689598714,0.038270871903402864
2009,0.305500636857972,0.040445508398308044
2010,0.3057555033892322,0.04201804156377942
2011,0.3075522350300336,0.041532153787034606
2012,0.3054999205547286,0.04254152130353324
2013,0.3027332046373219,0.04523349828993493
2014,0.3016254505382604,0.045869548173674904
2015,0.30145480983466133,0.04665168402625796
2016,0.3010648051235554,0.04707601993325128
2017,0.30041620070871655,0.04784881189406742
2018,0.29855359841436185,0.049880014258698153
2019,0.29693431391076053,0.05094593196424155
2020,0.2904407033718179,0.05732399041969998
2021,0.29029618889212955,0.05741572537175282
2022,0.5789405930069176,0.11635606013598063
